,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Sex_b'F',Sex_b'I',Sex_b'M',Class
0,0.25438596491228066,0.24719101123595516,0.07964601769911504,0.06575637800934243,0.06674757281553399,0.08029878618113911,0.06182643221781055,0.0,0.0,1.0,0
1,0.21929824561403516,0.22471910112359555,0.07079646017699115,0.05839022637441609,0.058656957928802586,0.06349206349206349,0.04480998298355077,0.0,1.0,0.0,0
2,0.2631578947368421,0.28089887640449446,0.0752212389380531,0.08911246855910887,0.06310679611650485,0.06349206349206349,0.11287577992058989,0.0,1.0,0.0,0
3,0.28070175438596495,0.31460674157303375,0.07079646017699115,0.07653611210923464,0.06472491909385114,0.07002801120448177,0.09585933068633011,0.0,0.0,1.0,0
4,0.324561403508772,0.31460674157303375,0.084070796460177,0.0576715774344233,0.05703883495145631,0.07376283846872081,0.0674985819625638,0.0,1.0,0.0,0
5,0.4473684210526316,0.49438202247191015,0.10619469026548672,0.15019762845849804,0.12985436893203883,0.19514472455648926,0.1525808281338627,1.0,0.0,0.0,0
6,0.34210526315789475,0.37078651685393266,0.084070796460177,0.09360402443406396,0.09425566343042072,0.10177404295051354,0.09585933068633011,0.0,0.0,1.0,0
7,0.3508771929824562,0.34831460674157305,0.08849557522123895,0.12306863097376931,0.1262135922330097,0.16059757236227823,0.10720363017583663,0.0,0.0,1.0,0
8,0.5263157894736843,0.550561797752809,0.11061946902654868,0.19421487603305784,0.1852750809061489,0.23249299719887953,0.18094157685762902,1.0,0.0,0.0,0
9,0.3859649122807018,0.38202247191011246,0.084070796460177,0.12073302191879266,0.12419093851132687,0.13912231559290383,0.09585933068633011,0.0,0.0,1.0,0
10,0.46491228070175433,0.48314606741573035,0.11504424778761063,0.17247574559827525,0.1488673139158576,0.23809523809523808,0.1695972773681225,0.0,0.0,1.0,0
11,0.2719298245614035,0.24719101123595516,0.084070796460177,0.06791232482932087,0.07119741100323625,0.07563025210084032,0.0674985819625638,0.0,1.0,0.0,0
12,0.31578947368421056,0.31460674157303375,0.0752212389380531,0.07581746316924183,0.06957928802588996,0.09710550887021474,0.07884288145207033,0.0,1.0,0.0,0
13,0.21052631578947373,0.23595505617977536,0.07964601769911504,0.053539346029464606,0.055016181229773475,0.056956115779645176,0.05275099262620532,1.0,0.0,0.0,0
14,0.25438596491228066,0.23595505617977536,0.084070796460177,0.060546173194394544,0.05582524271844659,0.09430438842203548,0.05955757231990924,0.0,1.0,0.0,0
