,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Sex_b'F',Sex_b'I',Sex_b'M',Class
0,0.02985074626865672,0.018518518518518545,0.02439024390243902,0.0018875047187617965,0.0013463480309660043,0.001746724890829695,0.0014803849000740192,0.0,1.0,0.0,1
1,0.0,0.0,0.02439024390243902,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2,0.08208955223880599,0.05555555555555555,0.02439024390243902,0.005096262740656852,0.0030292830696735107,0.005240174672489084,0.0029607698001480392,0.0,1.0,0.0,1
3,0.14925373134328357,0.1111111111111111,0.12195121951219512,0.011513778784446961,0.008751262201279031,0.011353711790393014,0.010362694300518137,0.0,0.0,1.0,1
4,0.06716417910447761,0.03703703703703706,0.07317073170731708,0.0028312570781426957,0.0026926960619320095,0.001746724890829695,0.0029607698001480392,0.0,0.0,1.0,1
5,0.07462686567164181,0.03703703703703706,0.0,0.003775009437523593,0.0026926960619320095,0.00611353711790393,0.0029607698001480392,0.0,1.0,0.0,1
6,0.19402985074626866,0.15740740740740738,0.1951219512195122,0.022083805209513023,0.019185459441265568,0.020087336244541485,0.020725388601036274,0.0,1.0,0.0,1
7,0.04477611940298509,0.02777777777777779,0.048780487804878064,0.002265005662514156,0.002019522046449007,0.0008733624454148477,0.0014803849000740192,0.0,1.0,0.0,1
8,0.10447761194029848,0.0740740740740741,0.0975609756097561,0.0073612684031710085,0.006731740154830024,0.013973799126637557,0.008882309400444113,0.0,1.0,0.0,1
9,0.10447761194029848,0.06481481481481483,0.12195121951219512,0.0056625141562853904,0.004039044092898014,0.00611353711790393,0.010362694300518137,0.0,0.0,1.0,1
10,0.11940298507462688,0.09259259259259262,0.02439024390243902,0.008871272178180446,0.006731740154830024,0.005240174672489084,0.011102886750555145,0.0,1.0,0.0,1
11,0.08208955223880599,0.05555555555555555,0.12195121951219512,0.004907512268780673,0.003365870077415012,0.004366812227074236,0.016284233900814214,0.0,1.0,0.0,1
12,0.15671641791044777,0.1111111111111111,0.14634146341463417,0.01245753114382786,0.00841467519353753,0.01222707423580786,0.014063656550703185,0.0,1.0,0.0,1
13,0.14179104477611937,0.12037037037037035,0.0975609756097561,0.015666289165722914,0.01413665432514305,0.01572052401746725,0.016284233900814214,0.0,1.0,0.0,1
14,0.12686567164179108,0.1111111111111111,0.0975609756097561,0.0111362778406946,0.010434197239986535,0.006986899563318778,0.011843079200592153,0.0,1.0,0.0,1
15,0.5671641791044775,0.537037037037037,0.5365853658536586,0.2013967534918837,0.1447324133288455,0.16244541484716157,0.2768319763138416,0.0,0.0,1.0,0
16,0.3656716417910448,0.35185185185185186,0.3414634146341463,0.08965647414118535,0.06260518343991922,0.10480349344978167,0.10658771280532937,0.0,0.0,1.0,0
17,0.6716417910447761,0.6481481481481481,0.5609756097560976,0.3474896187240468,0.2558061258835409,0.32489082969432315,0.4396743153219837,1.0,0.0,0.0,0
18,0.7014925373134326,0.6666666666666666,0.7804878048780488,0.3727821819554549,0.26388421406933693,0.4716157205240175,0.4174685418208734,1.0,0.0,0.0,0
19,0.6940298507462686,0.6203703703703703,0.5609756097560976,0.3229520573801435,0.26287445304611246,0.39301310043668125,0.2916358253145818,0.0,0.0,1.0,0
20,0.6940298507462686,0.6574074074074073,0.5365853658536586,0.33031332578331446,0.2547963648603164,0.3519650655021834,0.380458919319023,1.0,0.0,0.0,0
21,0.6865671641791045,0.7222222222222221,0.7317073170731707,0.444318610796527,0.3174015483002356,0.45240174672489086,0.5581051073279052,0.0,0.0,1.0,0
22,0.664179104477612,0.6203703703703703,0.5609756097560976,0.29445073612684036,0.18815213732749914,0.2751091703056769,0.4174685418208734,1.0,0.0,0.0,0
23,0.6492537313432836,0.6296296296296295,0.6829268292682927,0.29973574933937336,0.1958936385055537,0.31615720524017465,0.41006661732050337,1.0,0.0,0.0,0
24,0.6492537313432836,0.5925925925925924,0.4878048780487805,0.2587768969422424,0.1985863345674857,0.251528384279476,0.306439674315322,1.0,0.0,0.0,0
25,0.6268656716417911,0.6018518518518517,0.4390243902439025,0.2202718006795017,0.15516661056883205,0.27336244541484717,0.2620281273131014,1.0,0.0,0.0,0
26,0.5671641791044775,0.5277777777777778,0.5365853658536586,0.22819932049830124,0.1703130259171996,0.17467248908296942,0.3212435233160622,1.0,0.0,0.0,0
