,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
0,0.55,0.055257341332491314,0.18918918918918903,0.49793672627235214,0.0,0.5,0.125,0.9999999999999999,0.9824561403508771,0
1,0.0,0.025260498894853177,0.8378378378378377,0.3548830811554333,0.6428571428571428,0.296875,0.9166666666666666,0.44565217391304346,0.03508771929824561,0
2,0.25,0.02778654878433849,0.10810810810810789,0.49793672627235214,0.375,0.5625,0.3333333333333333,0.48913043478260865,0.43859649122807015,0
3,0.6833333333333333,0.0268392800757815,0.3513513513513513,0.4924346629986245,0.4464285714285714,0.5625,0.09722222222222224,0.5108695652173914,0.5964912280701753,0
4,0.5166666666666666,0.028733817492895487,0.8648648648648649,0.49793672627235214,0.9107142857142857,0.484375,0.4861111111111111,0.14130434782608692,0.07017543859649122,0
5,0.0,0.021787180296810864,0.1351351351351351,0.49793672627235214,0.6785714285714286,0.5625,0.5555555555555556,0.13043478260869568,0.0,0
6,0.08333333333333326,0.048626460372592356,0.054054054054053946,0.49793672627235214,0.17857142857142858,0.5625,0.4583333333333333,0.7282608695652174,0.5438596491228069,0
7,0.5999999999999999,0.023050205241553524,0.3513513513513513,0.4965612104539202,0.4464285714285714,0.5625,0.16666666666666666,0.5108695652173914,0.5614035087719298,0
8,0.11666666666666659,0.02557625513103884,0.054054054054053946,0.49793672627235214,0.35714285714285715,0.5625,0.41666666666666663,0.48913043478260865,0.38596491228070173,0
9,0.7333333333333334,0.02841806125670982,0.3783783783783785,0.5006877579092159,0.4464285714285714,0.5625,0.06944444444444445,0.5108695652173914,0.6140350877192982,0
10,0.0,0.025892011367224504,0.08108108108108114,0.49793672627235214,0.4642857142857143,0.5625,0.5416666666666666,0.3695652173913043,0.21052631578947367,0
11,0.5666666666666667,0.021155667824439534,0.3513513513513513,0.49793672627235214,0.4464285714285714,0.5625,0.19444444444444445,0.5108695652173914,0.5438596491228069,0
12,0.0,0.012630249447426588,0.0,0.4965612104539202,0.6071428571428571,0.25,0.4861111111111111,0.16304347826086962,0.08771929824561403,0
13,0.9166666666666665,0.02431323018629618,0.8648648648648649,0.49793672627235214,0.9821428571428571,0.46875,0.16666666666666666,0.06521739130434784,0.19298245614035087,0
14,0.8833333333333333,0.024628986422481847,0.8648648648648649,0.49793672627235214,0.9464285714285714,0.125,0.19444444444444445,0.08695652173913043,0.21052631578947367,0
15,0.0,0.005052099778970635,0.027027027027027195,0.49931224209078406,0.6964285714285714,0.578125,0.49999999999999994,0.06521739130434784,0.0,0
16,0.2666666666666666,0.01420903062835491,0.3513513513513513,0.49793672627235214,0.42857142857142855,0.09375,0.4444444444444444,0.532608695652174,0.40350877192982454,0
17,0.08333333333333326,0.02778654878433849,0.027027027027027195,0.49793672627235214,0.75,0.5625,0.4305555555555555,0.010869565217391297,0.0,0
18,0.5333333333333332,0.05588885380486265,0.18918918918918903,0.49793672627235214,0.0,0.484375,0.1388888888888889,0.9999999999999999,0.9649122807017543,0
19,0.09999999999999998,0.026523523839595834,0.43243243243243246,0.49793672627235214,0.39285714285714285,0.5625,0.625,0.5869565217391305,0.3333333333333333,0
20,0.5166666666666666,0.058414903694347965,0.18918918918918903,0.49793672627235214,0.0,0.46875,0.1388888888888889,0.9999999999999999,0.9649122807017543,0
