,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,Class
0,0.5079365079365081,0.31147540983606564,0.278688524590164,0.17,0.0,0.6024096385542169,0.6,0.275,0
1,0.3333333333333334,0.2950819672131148,0.34426229508196715,0.15,0.0,0.0,0.75,0.375,0
2,0.3333333333333334,0.3442622950819672,0.29508196721311464,0.35,0.0,0.0,0.6666666666666667,0.3125,0
3,0.42857142857142866,0.3770491803278689,0.21311475409836067,0.11,0.0,0.0,0.6166666666666667,0.275,0
4,0.4444444444444445,0.2950819672131148,0.180327868852459,0.11,0.0,0.0,0.6,0.5,0
5,0.41269841269841273,0.31147540983606564,0.180327868852459,0.16,0.0,0.0,0.6166666666666667,0.275,0
6,0.380952380952381,0.3770491803278689,0.14754098360655732,0.22,0.0,0.0,0.6333333333333334,0.275,0
7,0.8571428571428574,0.6885245901639345,0.0491803278688524,0.3,0.0,0.0,0.6,0.275,0
8,0.380952380952381,0.5245901639344264,0.21311475409836067,0.13,0.0,0.0,0.7000000000000001,0.275,0
9,0.42857142857142866,0.5245901639344264,0.21311475409836067,0.15,0.0,0.0,0.75,0.275,0
10,0.6349206349206349,0.3934426229508197,0.2295081967213115,0.19,0.0,0.0,0.7666666666666666,0.3375,0
11,0.6031746031746033,0.4262295081967213,0.34426229508196715,0.18,0.0,0.0,0.6333333333333334,0.275,0
12,0.3015873015873017,0.6557377049180328,0.360655737704918,0.12,0.0,0.0,0.6666666666666667,0.5874999999999999,0
13,0.3333333333333334,0.3934426229508197,0.29508196721311464,0.18,0.0,0.0,0.7166666666666668,0.325,0
14,0.4603174603174604,0.2950819672131148,0.19672131147540983,0.21,0.0,0.0,0.65,0.35000000000000003,0
15,0.5873015873015874,0.4426229508196721,0.3114754098360655,0.27,0.0,0.0,0.6333333333333334,0.275,0
16,0.7142857142857144,0.6229508196721312,0.278688524590164,0.23,0.0,0.0,0.55,0.275,0
17,0.7142857142857144,0.5737704918032789,0.278688524590164,0.22,0.0,0.0,0.5333333333333333,0.275,0
18,0.7460317460317463,0.6721311475409837,0.16393442622950816,0.1,0.0,0.0,0.6,0.275,0
19,0.5396825396825398,0.3770491803278689,0.19672131147540983,0.33,0.0,0.0,0.7000000000000001,0.275,0
20,0.3015873015873017,0.45901639344262296,0.2295081967213115,0.19,0.0,0.0,0.6166666666666667,0.275,0
21,0.5555555555555558,0.4426229508196721,0.08196721311475408,0.08,0.0,0.0,0.65,0.3375,0
